Open,High,Low,Close,Volume,Timestamp
46974.57,46977.09,46969.01,46973.58,0.023483,2022-01-03T08:44:00Z
46968.64,46986.77,46968.64,46975.95,0.051566,2022-01-03T08:45:00Z
46981.37,46981.37,46968.9,46977.32,0.062923,2022-01-03T08:46:00Z
46970.97,46970.97,46960.21,46965.64,0.045663,2022-01-03T08:47:00Z
46966.04,46966.04,46966.04,46966.04,0.011,2022-01-03T08:48:00Z
46961.5,46973.74,46961.5,46973.74,0.017969,2022-01-03T08:50:00Z
46963.98,46963.98,46935.27,46942.33,0.016368,2022-01-03T08:51:00Z
46942.33,46961.71,46942.33,46955.72,0.040342,2022-01-03T08:52:00Z
46948.87,46948.87,46948.87,46948.87,0.001682,2022-01-03T08:53:00Z
46961.06,46961.06,46961.06,46961.06,0.006409,2022-01-03T08:54:00Z
46974.44,46974.44,46969.58,46969.58,0.003474,2022-01-03T08:55:00Z
46964.13,46972.46,46956.44,46964.38,0.046716,2022-01-03T08:56:00Z
46970.4,46983.64,46970.4,46983.64,0.032426,2022-01-03T08:57:00Z
46995.31,46998.74,46983.22,46998.74,0.101024,2022-01-03T08:58:00Z
46994.95,46997.97,46985.34,46985.34,0.027283,2022-01-03T08:59:00Z
46988.87,47086.44,46986.82,47070.43,1.480301,2022-01-03T09:00:00Z
47075.34,47083.23,47071.51,47071.51,0.02462,2022-01-03T09:01:00Z
47067.71,47074.91,47067.71,47069.18,0.022649,2022-01-03T09:02:00Z
47064.76,47085.17,47046.29,47077.37,0.350065,2022-01-03T09:03:00Z
47077.43,47091.56,47068.72,47068.72,0.006873,2022-01-03T09:04:00Z
47082.88,47107.11,47082.88,47097.37,0.102821,2022-01-03T09:05:00Z
47097.37,47097.37,47068.03,47068.03,0.032887,2022-01-03T09:06:00Z
47070.25,47070.25,47053.55,47053.55,0.251912,2022-01-03T09:08:00Z
47044.39,47044.39,47036.81,47038.38,0.00961,2022-01-03T09:09:00Z
47038.41,47038.41,47028.72,47037.57,0.011178,2022-01-03T09:10:00Z
47028.23,47028.23,47004.61,47012.51,0.16079,2022-01-03T09:11:00Z
47016.26,47045.89,46991.81,46991.81,0.244469,2022-01-03T09:12:00Z
46999.74,46999.74,46975.67,46975.67,0.034982,2022-01-03T09:14:00Z
46973.43,46973.43,46973.43,46973.43,0.002746,2022-01-03T09:15:00Z
46936.78,46936.78,46862.23,46870.23,0.788962,2022-01-03T09:16:00Z
46891.69,46891.69,46823.52,46828.31,0.138576,2022-01-03T09:17:00Z
46831.42,46876.76,46831.42,46863.32,0.079132,2022-01-03T09:18:00Z
46860.08,46870.82,46815.58,46815.58,0.467812,2022-01-03T09:19:00Z
46813.23,46840.03,46800,46840.03,0.725992,2022-01-03T09:20:00Z
46845.14,46845.14,46828.45,46828.45,0.097171,2022-01-03T09:21:00Z
46845.14,46891.11,46845.14,46866.39,0.479904,2022-01-03T09:22:00Z
46858.35,46866.96,46858.35,46866.96,0.002194,2022-01-03T09:23:00Z
46872.73,46872.73,46845.46,46853.09,0.240418,2022-01-03T09:24:00Z
46861.83,46861.83,46848.57,46848.57,0.473761,2022-01-03T09:25:00Z
46845.28,46845.28,46842,46844.8,0.596338,2022-01-03T09:26:00Z
46854.98,46854.98,46835.42,46835.42,0.152779,2022-01-03T09:27:00Z
46826.3,46826.3,46797.83,46808.74,0.508079,2022-01-03T09:28:00Z
46814.08,46816.26,46814.08,46816.26,0.013953,2022-01-03T09:29:00Z
46818.96,46818.96,46806.88,46806.88,0.585943,2022-01-03T09:30:00Z
46804.55,46804.55,46791.52,46791.52,0.727203,2022-01-03T09:31:00Z
46798.42,46800.26,46774.47,46774.47,0.969229,2022-01-03T09:32:00Z
46783.79,46841.03,46782.69,46841.03,0.24613,2022-01-03T09:33:00Z
46844.92,46844.92,46835.42,46835.42,0.212753,2022-01-03T09:34:00Z
46840.11,46851.61,46840.11,46842.42,0.411996,2022-01-03T09:35:00Z
46842.31,46842.31,46826.98,46835.01,0.280457,2022-01-03T09:36:00Z
46816.48,46832.67,46816.48,46825.33,0.03491,2022-01-03T09:37:00Z
46828.73,46853.91,46815.2,46853.91,0.478277,2022-01-03T09:38:00Z
46862.41,46906.29,46862.41,46896.8,0.029135,2022-01-03T09:39:00Z
46895.82,46898.18,46878.87,46898.18,0.135773,2022-01-03T09:40:00Z
46895.83,46906.29,46893.7,46900.52,0.306034,2022-01-03T09:41:00Z
46894.05,46894.05,46880.41,46880.41,0.002111,2022-01-03T09:42:00Z
46880.41,46888.13,46871.17,46888.13,0.006324,2022-01-03T09:43:00Z
46894.94,46894.94,46882.76,46882.76,0.006251,2022-01-03T09:44:00Z
46893.98,46893.98,46893.55,46893.55,0.009805,2022-01-03T09:45:00Z
46892.47,46906.43,46892.47,46898.07,0.029311,2022-01-03T09:46:00Z
46893.94,46896.43,46893.94,46896.43,0.019359,2022-01-03T09:47:00Z
46905.29,46905.29,46883.21,46894.08,0.025238,2022-01-03T09:48:00Z
46893.68,46938.93,46885.51,46923.78,2.084202,2022-01-03T09:49:00Z
46915.18,46933.38,46911.51,46933.38,0.202578,2022-01-03T09:50:00Z
46936.73,46936.73,46936.73,46936.73,0.00479,2022-01-03T09:51:00Z
46941.49,46959.73,46940.99,46941.72,0.111703,2022-01-03T09:52:00Z
46941.72,46964.38,46940.28,46944.21,0.3159,2022-01-03T09:53:00Z
46966.77,46994.66,46966.77,46994.66,0.00345,2022-01-03T09:54:00Z
46997.58,46997.58,46950.67,46959.62,1.230369,2022-01-03T09:55:00Z
46968.63,46969.7,46951.83,46964.96,0.073554,2022-01-03T09:56:00Z
46974.33,46974.33,46964.96,46969.73,0.013026,2022-01-03T09:57:00Z
46973.53,46973.53,46973.53,46973.53,0.001976,2022-01-03T09:58:00Z
46983.68,46983.68,46970.83,46982.67,0.00387,2022-01-03T09:59:00Z
46989.4,47160.82,46989.4,47103.88,7.285182,2022-01-03T10:00:00Z
47103.85,47103.88,47094.01,47097.35,1.014808,2022-01-03T10:01:00Z
47097.7,47157.8,47097.7,47120.94,1.3303,2022-01-03T10:02:00Z
47116.56,47123.01,47104.41,47104.41,0.044965,2022-01-03T10:03:00Z
47104.39,47112.58,47051.32,47051.32,0.319637,2022-01-03T10:04:00Z
47056.78,47082.03,47056.78,47075.68,0.288968,2022-01-03T10:05:00Z
47067.87,47069.81,47067.87,47069.81,0.024565,2022-01-03T10:06:00Z
47077,47094.75,47071.33,47077.88,0.023111,2022-01-03T10:07:00Z
47076.7,47080.66,47070.76,47080.66,0.011405,2022-01-03T10:08:00Z
47109.8,47114.06,47106.11,47106.11,0.003308,2022-01-03T10:09:00Z
47102.99,47173.49,47098.33,47173.49,0.301305,2022-01-03T10:10:00Z
47172.08,47189.74,47166.92,47180.16,0.665683,2022-01-03T10:11:00Z
47182.53,47250,47181.64,47245.89,0.725385,2022-01-03T10:12:00Z
47250.01,47250.01,47176.89,47211.88,0.550936,2022-01-03T10:13:00Z
47185.58,47208.72,47160.26,47204.15,0.41569,2022-01-03T10:14:00Z
47178.04,47178.04,47146.59,47166.15,0.195024,2022-01-03T10:15:00Z
47158.32,47196.23,47146.26,47196.23,0.285923,2022-01-03T10:16:00Z
47186.28,47202.09,47186.28,47190.37,0.212376,2022-01-03T10:17:00Z
47180.22,47189.49,47180.22,47188.97,0.143793,2022-01-03T10:18:00Z
47192.94,47198.79,47181.42,47186.57,0.167203,2022-01-03T10:19:00Z
47181.63,47188.75,47167.33,47171.96,0.606946,2022-01-03T10:20:00Z
47173.6,47173.6,47135.93,47135.93,0.16554,2022-01-03T10:21:00Z
47141.54,47164.39,47120.1,47164.39,0.300028,2022-01-03T10:22:00Z
47154.31,47154.31,47123.11,47123.11,0.008808,2022-01-03T10:23:00Z
47137.04,47144.27,47137.04,47144.27,0.016248,2022-01-03T10:24:00Z
47139.19,47139.19,47124.05,47131.52,0.20618,2022-01-03T10:25:00Z
47137.77,47137.77,47130.91,47130.91,0.0349,2022-01-03T10:26:00Z
47136.96,47151.24,47136.96,47138.4,0.162004,2022-01-03T10:27:00Z
47131.02,47133.8,47058.45,47072.48,1.175057,2022-01-03T10:28:00Z
47084.35,47095.09,47084.35,47095.09,0.148537,2022-01-03T10:29:00Z
47087.14,47087.14,47046.61,47047.03,0.078537,2022-01-03T10:30:00Z
47052.9,47063.07,47052.9,47052.97,0.042845,2022-01-03T10:31:00Z
47057.87,47062.75,47057.17,47062.75,0.010354,2022-01-03T10:32:00Z
47062.43,47064.94,47053.01,47064.94,0.003669,2022-01-03T10:33:00Z
47067.81,47089.37,47063.76,47084.39,0.089904,2022-01-03T10:34:00Z
47100.79,47100.79,47100.79,47100.79,0.000499,2022-01-03T10:35:00Z
47100.79,47111.4,47099.25,47111.4,0.109131,2022-01-03T10:36:00Z
47123.02,47144.97,47123.02,47143.23,0.505745,2022-01-03T10:37:00Z
47142.13,47146.02,47141.34,47146.02,0.056245,2022-01-03T10:38:00Z
