Entry,Exit,PnL
2022-01-18T12:14:00Z,2022-01-18T14:43:00Z,1.80
2022-01-18T15:06:00Z,2022-01-18T15:56:00Z,-8.50
2022-01-18T15:59:00Z,2022-01-18T18:59:00Z,2.85
2022-01-18T19:20:00Z,2022-01-18T20:16:00Z,0.10
2022-01-18T20:17:00Z,2022-01-18T21:10:00Z,12.06
2022-01-18T21:11:00Z,2022-01-19T03:36:00Z,15.38
2022-01-19T03:50:00Z,2022-01-19T04:19:00Z,0.15
2022-01-19T04:56:00Z,2022-01-19T05:19:00Z,-0.69
2022-01-19T05:48:00Z,2022-01-19T09:07:00Z,-10.07
2022-01-19T09:24:00Z,2022-01-19T09:31:00Z,0.43
2022-01-19T09:32:00Z,2022-01-19T09:42:00Z,0.04
2022-01-19T09:43:00Z,2022-01-19T10:15:00Z,3.66
2022-01-19T10:44:00Z,2022-01-19T11:06:00Z,9.56
2022-01-19T11:07:00Z,2022-01-19T16:06:00Z,0.86
2022-01-19T16:31:00Z,2022-01-19T17:41:00Z,-6.44
2022-01-19T17:42:00Z,2022-01-19T18:14:00Z,1.74
2022-01-19T18:15:00Z,2022-01-19T19:02:00Z,1.95
2022-01-19T19:03:00Z,2022-01-19T22:17:00Z,-1.04
2022-01-19T22:44:00Z,2022-01-19T23:47:00Z,1.16
2022-01-19T23:48:00Z,2022-01-20T01:46:00Z,0.15
2022-01-20T02:03:00Z,2022-01-20T05:23:00Z,-0.03
2022-01-20T05:35:00Z,2022-01-20T11:22:00Z,-12.80
2022-01-20T11:23:00Z,2022-01-20T12:55:00Z,-4.45
2022-01-20T12:56:00Z,2022-01-20T21:40:00Z,387.63
2022-01-20T21:41:00Z,2022-01-20T22:28:00Z,-6.41
2022-01-20T22:46:00Z,2022-01-21T00:28:00Z,-3.06
2022-01-21T00:29:00Z,2022-01-21T01:06:00Z,-2.40
2022-01-21T01:09:00Z,2022-01-21T02:04:00Z,-69.78
2022-01-21T02:14:00Z,2022-01-21T02:25:00Z,31.14
2022-01-21T02:45:00Z,2022-01-21T04:04:00Z,-101.00
2022-01-21T04:34:00Z,2022-01-21T04:38:00Z,8.44
2022-01-21T04:39:00Z,2022-01-21T05:02:00Z,4.54
2022-01-21T05:39:00Z,2022-01-21T06:18:00Z,1.83
2022-01-21T06:19:00Z,2022-01-21T07:45:00Z,7.40
2022-01-21T07:46:00Z,2022-01-21T09:08:00Z,-7.93
2022-01-21T09:09:00Z,2022-01-21T09:23:00Z,0.41
2022-01-21T09:39:00Z,2022-01-21T13:06:00Z,-88.73
2022-01-21T13:35:00Z,2022-01-21T13:43:00Z,13.50
2022-01-21T13:44:00Z,2022-01-21T13:56:00Z,2.34
2022-01-21T14:03:00Z,2022-01-21T14:16:00Z,-0.93
2022-01-21T14:26:00Z,2022-01-21T15:22:00Z,46.00
2022-01-21T15:50:00Z,2022-01-21T16:03:00Z,7.71
2022-01-21T16:22:00Z,2022-01-21T17:11:00Z,31.72
2022-01-21T17:13:00Z,2022-01-21T17:26:00Z,-0.67
2022-01-21T17:37:00Z,2022-01-21T18:01:00Z,1.49
2022-01-21T18:11:00Z,2022-01-21T18:19:00Z,9.65
2022-01-21T18:22:00Z,2022-01-21T18:34:00Z,13.20
2022-01-21T19:28:00Z,2022-01-21T20:41:00Z,28.50
2022-01-21T21:00:00Z,2022-01-21T21:33:00Z,20.96
2022-01-21T21:35:00Z,2022-01-21T23:59:00Z,4.67
2022-01-22T00:02:00Z,2022-01-22T01:02:00Z,9.71
2022-01-22T01:20:00Z,2022-01-22T02:03:00Z,0.20
2022-01-22T02:04:00Z,2022-01-22T02:37:00Z,-0.76
2022-01-22T02:38:00Z,2022-01-22T02:50:00Z,0.08
2022-01-22T03:01:00Z,2022-01-22T03:33:00Z,1.05
2022-01-22T03:34:00Z,2022-01-22T07:07:00Z,-49.89
2022-01-22T07:25:00Z,2022-01-22T10:22:00Z,-100.06
2022-01-22T10:23:00Z,2022-01-22T10:51:00Z,-25.65
2022-01-22T11:04:00Z,2022-01-22T11:42:00Z,8.14
2022-01-22T11:43:00Z,2022-01-22T11:57:00Z,18.03
2022-01-22T12:12:00Z,2022-01-22T12:30:00Z,20.26
2022-01-22T12:47:00Z,2022-01-22T13:04:00Z,4.05
2022-01-22T13:14:00Z,2022-01-22T13:46:00Z,7.95
2022-01-22T13:53:00Z,2022-01-22T14:41:00Z,2.47
2022-01-22T14:42:00Z,2022-01-22T14:51:00Z,3.48
2022-01-22T14:56:00Z,2022-01-22T18:16:00Z,-82.22
2022-01-22T18:18:00Z,2022-01-22T18:28:00Z,5.52
2022-01-22T18:46:00Z,2022-01-22T20:46:00Z,2.52
2022-01-22T20:57:00Z,2022-01-22T21:12:00Z,5.26
2022-01-22T21:14:00Z,2022-01-22T21:18:00Z,3.22
2022-01-22T21:38:00Z,2022-01-22T22:40:00Z,34.16
2022-01-22T22:49:00Z,2022-01-22T23:29:00Z,7.70
2022-01-22T23:30:00Z,2022-01-23T05:12:00Z,127.46
2022-01-23T05:13:00Z,2022-01-23T05:48:00Z,8.34
2022-01-23T05:49:00Z,2022-01-23T06:41:00Z,16.06
2022-01-23T06:42:00Z,2022-01-23T06:58:00Z,0.36
2022-01-23T07:05:00Z,2022-01-23T08:02:00Z,-13.03
2022-01-23T08:11:00Z,2022-01-23T08:28:00Z,9.51
2022-01-23T08:29:00Z,2022-01-23T08:59:00Z,6.39
2022-01-23T09:00:00Z,2022-01-23T10:21:00Z,15.56
2022-01-23T10:29:00Z,2022-01-23T11:39:00Z,6.38
2022-01-23T11:48:00Z,2022-01-23T12:08:00Z,-0.02
2022-01-23T12:09:00Z,2022-01-23T12:25:00Z,0.31
2022-01-23T12:50:00Z,2022-01-23T13:08:00Z,-3.43
2022-01-23T13:46:00Z,2022-01-23T14:48:00Z,52.37
2022-01-23T14:49:00Z,2022-01-23T15:22:00Z,5.21
2022-01-23T15:33:00Z,2022-01-23T15:58:00Z,0.90
2022-01-23T15:59:00Z,2022-01-23T16:25:00Z,-0.31
2022-01-23T16:47:00Z,2022-01-23T18:25:00Z,3.37
2022-01-23T18:26:00Z,2022-01-23T20:06:00Z,-24.92
2022-01-23T20:07:00Z,2022-01-23T20:29:00Z,-3.77
2022-01-23T20:30:00Z,2022-01-23T21:42:00Z,15.03
2022-01-23T22:01:00Z,2022-01-23T22:10:00Z,-0.00
2022-01-23T22:20:00Z,2022-01-23T22:43:00Z,-0.10
2022-01-23T23:03:00Z,2022-01-23T23:32:00Z,-27.48
2022-01-23T23:47:00Z,2022-01-24T00:02:00Z,0.55
2022-01-24T00:03:00Z,2022-01-24T05:52:00Z,-100.75
2022-01-24T05:58:00Z,2022-01-24T07:42:00Z,2.01
2022-01-24T07:43:00Z,2022-01-24T08:17:00Z,6.09
2022-01-24T08:31:00Z,2022-01-24T08:43:00Z,0.25
2022-01-24T08:46:00Z,2022-01-24T08:48:00Z,12.82
2022-01-24T09:10:00Z,2022-01-24T11:11:00Z,-136.62
2022-01-24T11:12:00Z,2022-01-24T12:17:00Z,7.18
2022-01-24T12:18:00Z,2022-01-24T12:32:00Z,2.13
2022-01-24T12:43:00Z,2022-01-24T12:56:00Z,19.91
2022-01-24T13:10:00Z,2022-01-24T13:35:00Z,9.45
2022-01-24T14:01:00Z,2022-01-24T14:16:00Z,12.87
2022-01-24T14:28:00Z,2022-01-24T15:10:00Z,23.47
2022-01-24T15:11:00Z,2022-01-24T15:24:00Z,8.73
2022-01-24T15:25:00Z,2022-01-24T16:38:00Z,-12.85
2022-01-24T16:49:00Z,2022-01-24T16:56:00Z,23.39
2022-01-24T16:57:00Z,2022-01-24T17:13:00Z,1.71
2022-01-24T17:14:00Z,2022-01-24T17:22:00Z,8.22
2022-01-24T17:23:00Z,2022-01-25T00:10:00Z,-99.59
2022-01-25T00:30:00Z,2022-01-25T02:07:00Z,1.65
2022-01-25T02:08:00Z,2022-01-25T04:36:00Z,-15.66
2022-01-25T04:37:00Z,2022-01-25T05:07:00Z,-8.47
2022-01-25T05:18:00Z,2022-01-25T05:43:00Z,-3.92
2022-01-25T06:35:00Z,2022-01-25T07:00:00Z,4.33
